time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1666932956664526300,0.1645263671875,0.49598097801208496,0.18840420246124268,0.09017451852560043,0.8428376317024231,0.24492958188056946,-0.3457418978214264,-1.0208137035369873
1666932956669501000,0.1695009765625,0.49598583579063416,0.18840248882770538,0.09016517549753189,0.8428362607955933,0.24493351578712463,-0.34572499990463257,-1.0208252668380737
1666932956674505500,0.17450537109375,0.4959908127784729,0.18839964270591736,0.09015573561191559,0.8428349494934082,0.24493534862995148,-0.34570685029029846,-1.020837426185608
1666932956679510500,0.179510498046875,0.49599575996398926,0.18839557468891144,0.09014402329921722,0.8428341746330261,0.24493716657161713,-0.34568342566490173,-1.020849585533142
1666932956684515300,0.184515380859375,0.49599823355674744,0.18839013576507568,0.09013205766677856,0.8428351879119873,0.2449377328157425,-0.3456574082374573,-1.0208560228347778
1666932956689520400,0.189520263671875,0.49600452184677124,0.18838831782341003,0.09012424200773239,0.8428327441215515,0.24493937194347382,-0.3456435203552246,-1.0208711624145508
1666932956694525200,0.194525146484375,0.4960108995437622,0.1883852630853653,0.0901155099272728,0.8428305983543396,0.24493956565856934,-0.3456268310546875,-1.0208866596221924
1666932956699499300,0.199499267578125,0.49601662158966064,0.18838541209697723,0.09010589867830276,0.8428282737731934,0.24494682252407074,-0.3456116020679474,-1.0208998918533325
1666932956704504300,0.20450439453125,0.4960215389728546,0.18838486075401306,0.09009557962417603,0.8428265452384949,0.24495375156402588,-0.3455941677093506,-1.0209112167358398
1666932956709509000,0.209509033203125,0.49602237343788147,0.18838292360305786,0.09008172899484634,0.8428279757499695,0.24496331810951233,-0.345567911863327,-1.0209128856658936
1666932956714514200,0.21451416015625,0.4960232675075531,0.18838007748126984,0.09006704390048981,0.8428296446800232,0.24497196078300476,-0.3455393314361572,-1.0209147930145264
